AREAKEY,SHR0D,SHRWHT0,SHRBLK0,SHRAMI0N,SHRASN0N,SHRHIP0N,SHRHSP0,ADULT0,CHILD0,OLD0,NUMHHS0,NONFAM0,WNONFAM0,WRCNTY0D,WRKSM0,WKHOME0,COMMUT20,WM16P0,WMEMP0,WF16P0,WFEMP0,WORKER30,POVRAT0,WELFARE0,AVWELIN0,AVSSI0,MDFAMY0,AVSOCS0,AVRETR0,TOTHSUN0,VACHU0,RNTOCC0
06059011504,5362,0.586162,0.059493,53,1237,10,0.204588,0.876912,0.123088,0.028348,2294,1390,972,3264,0.785233,8,2073,1362,969,1412,1084,65,0.202291,0.049259,5684.955752,5266.666667,37448,7557.512953,12682.394366,2394,62,2134
06059011601,8022,0.506607,0.036774,186,678,23,0.642732,0.671279,0.328721,0.036525,2263,676,386,3225,0.840000,86,1709,1352,984,1332,637,282,0.264395,0.101635,6472.486957,7278.547368,35158,9776.116279,9379.597403,2339,76,1914
06059011602,5726,0.552917,0.023751,157,169,6,0.775410,0.690709,0.309291,0.121376,1547,454,407,2056,0.851167,22,1194,1109,701,1193,448,237,0.184716,0.082094,6205.811024,6692.886076,36810,10371.576172,11675.046440,1628,63,690
06059011707,4379,0.783741,0.024663,12,534,9,0.131994,0.804522,0.195478,0.108244,1932,788,667,2485,0.738028,48,1380,1345,1103,1412,889,84,0.070448,0.022257,9465.116279,9465.116279,68452,11959.945504,15036.397059,2025,96,892
06059011708,4406,0.682932,0.031321,10,838,46,0.201770,0.822742,0.177258,0.060599,1873,967,651,2409,0.785388,68,1324,1271,936,1126,771,73,0.173493,0.030432,6219.298246,7037.777778,47803,11793.975904,12267.579909,2011,134,1356
06059011709,4399,0.859286,0.005001,9,445,2,0.096158,0.759945,0.240055,0.120482,1465,201,181,2306,0.746748,123,1300,1425,1067,1577,929,185,0.016367,0.015700,3152.173913,6100.000000,86035,13282.697947,20511.075949,1487,16,119
06059011710,3526,0.857345,0.003403,29,408,18,0.109472,0.755247,0.244753,0.152014,1134,201,198,1812,0.773179,97,1025,1143,856,1264,754,193,0.045908,0.030864,7871.428571,8092.592593,78801,13777.878788,23586.013986,1161,11,119
06059011711,7226,0.584971,0.012593,75,906,23,0.479242,0.760033,0.239967,0.046914,2590,1190,919,3851,0.816931,31,2159,1673,1311,1655,1093,162,0.159075,0.019305,8664.000000,7851.428571,40222,11746.887967,13650.625000,2658,70,2149
06059011712,4687,0.644335,0.039898,10,584,10,0.425432,0.761681,0.238319,0.089183,1569,418,282,2457,0.827839,79,1477,1152,906,1176,697,163,0.089198,0.074570,6652.991453,7465.822785,51335,11741.830065,13799.459459,1597,29,788
06059011714,220,0.409091,0.000000,0,59,0,0.690909,0.645455,0.354545,0.122727,59,0,0,92,0.782609,0,38,24,14,44,20,11,0.440909,0.101695,4150.000000,0.000000,35893,11682.608696,5470.588235,72,0,61
06059011715,5711,0.825600,0.023639,31,746,13,0.104710,0.765365,0.234635,0.132026,2021,359,359,2950,0.781017,173,1663,1782,1353,1874,1111,264,0.018921,0.034636,6798.571429,7513.333333,85927,14693.944354,21435.639413,2042,24,239
06059011716,4184,0.580545,0.021511,34,1154,0,0.229446,0.741396,0.258365,0.050669,1329,231,194,2262,0.725906,75,1146,867,730,943,671,174,0.062875,0.048157,4942.453125,6731.050000,85679,11397.341085,12494.576923,1348,35,193
06059011717,2689,0.904797,0.004835,0,210,0,0.108962,0.728152,0.271848,0.096690,903,151,119,1289,0.792087,39,820,901,664,928,515,142,0.094934,0.012182,2397.090909,6392.333333,72596,12868.648241,17456.254545,937,31,206
06059011718,3365,0.861218,0.028232,44,250,18,0.121545,0.737593,0.262407,0.093016,1091,182,165,1760,0.831818,77,915,1065,813,1121,715,181,0.025672,0.038497,6886.476190,9512.388889,81749,14371.951087,16096.258373,1097,7,146
06059011720,7535,0.440743,0.013935,188,104,3,0.880823,0.602522,0.397478,0.035567,1495,154,116,2513,0.886192,48,1643,1060,609,945,407,295,0.298357,0.078930,5733.898305,7529.787234,29922,9161.111111,5411.515152,1513,36,1200
06059011721,4654,0.517834,0.034164,47,363,13,0.613881,0.711646,0.288354,0.059734,1492,495,396,2076,0.851638,40,1248,893,685,925,577,101,0.191677,0.066354,5929.292929,4855.882353,39396,9734.334764,11172.180451,1510,20,1145
06059011722,3165,0.619589,0.036651,17,340,0,0.523855,0.703949,0.296367,0.129226,896,227,227,1362,0.842878,14,765,734,515,759,346,129,0.155128,0.084821,8645.828947,17383.575758,47792,11040.205212,7335.181395,1058,177,286
06059021802,6538,0.878862,0.009330,30,416,1,0.167941,0.728204,0.271796,0.115326,2270,563,526,3353,0.800477,201,1759,2083,1537,2228,1346,311,0.053133,0.029956,5735.294118,8090.476190,78452,13423.244147,16917.948718,2325,41,748
06059021807,3822,0.842752,0.010466,12,308,3,0.175039,0.706698,0.293302,0.038985,1262,263,221,1995,0.812531,26,860,1161,927,1213,793,194,0.081279,0.065769,6034.939759,7139.705882,64417,9991.823899,22875.000000,1281,18,323
06059021809,2616,0.918578,0.014144,1,175,0,0.094419,0.737768,0.262232,0.121560,849,145,143,1202,0.794509,63,582,843,645,964,504,79,0.064801,0.065960,5241.071429,5695.555556,80881,15315.533981,32911.956522,857,12,126
